央视,#genre#
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221225506/index.m3u8
湖南卫视,http://39.134.65.78/PLTV/88888888/224/3221225506/index.m3u8?icpid=88888888
湖南卫视,http://39.134.65.84/PLTV/88888888/224/3221225506/index.m3u8?icpid=88888888
记录,http://39.134.65.162/PLTV/88888888/224/3221225715/index.m3u8
记录,http://39.134.65.162/PLTV/88888888/224/3221225728/index.m3u8
江苏卫视,http://39.134.65.82/PLTV/88888888/224/3221225503/index.m3u8?icpid=88888888
江苏卫视,http://39.134.65.162/PLTV/88888888/224/3221225503/index.m3u8
江苏卫视,http://39.134.65.78/PLTV/88888888/224/3221225503/index.m3u8?icpid=88888888
江苏卫视,http://39.134.65.84/PLTV/88888888/224/3221225503/index.m3u8?icpid=88888888
江西卫视,http://39.134.65.162/PLTV/88888888/224/3221225512/index.m3u8
江西卫视,http://39.134.65.84/PLTV/88888888/224/3221225512/index.m3u8?icpid=88888888
教育频道,http://39.134.65.162/PLTV/88888888/224/3221225731/index.m3u8
求索,http://39.134.65.162/PLTV/88888888/224/3221225713/index.m3u8
人文纪实,http://39.134.65.162/PLTV/88888888/224/3221225673/index.m3u8
山东卫视,http://39.134.65.162/PLTV/88888888/224/3221225680/index.m3u8
深圳卫视,http://39.134.65.162/PLTV/88888888/224/3221225668/index.m3u8
天津卫视,http://39.134.65.162/PLTV/88888888/224/3221225665/index.m3u8
新闻综合,http://39.134.65.162/PLTV/88888888/224/3221225684/index.m3u8
新闻综合,http://39.134.65.162/PLTV/88888888/224/3221225736/index.m3u8
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225514/index.m3u8
中国移动咪咕直播,http://39.134.65.84/PLTV/88888888/224/3221225651/index.m3u8?icpid=88888888

